HSCs;MEP;mk_prog;neutro_prog;eos_prog
Procr;Usp14;Pf4;Elane;Prg2
Fgd5;Mns1;Itga2b;Gfi1;Prg3 
Hoxb5;Atp1b2;Gp1bb;Cebpe;Prss34
Procr;Zdhhc13;;Mpo;Mcpt8 
Pdzk1ip1;Sod1;;Cd25;Alox5
Ltb;Hdgf;;Sfpi1;Anxa1
Mllt3;Memo1;;Eltd1;
Ifitm1;Nudt19;;Calr;
Gimap1;Rcc1;;;
Gimap6;Zdhhc6;;;
Limd2;Nop2;;;
Trim47;Stt3b;;;
Neil2;Hspd1;;;
Vwf;Naa50;;;
Pde1b;1700017B05Rik;;;
Neo1;Tm7sf3;;;
Sqrdl;Idh3a;;;
Sult1a1;Nup62;;;
Cd82;Snrpb;;;
Ramp2;Eif2s1;;;
Ubl3;Cd24a;;;
Ly6a;Vdac2;;;
Cdkn1c;Nsun2;;;
Fgfr3;Sdhd;;;
Cldn10;Slc41a3;;;
Ptpn14;Gpsm2;;;
Mettl7a1;Sec23ip;;;
Smtnl1;Eif5a;;;
Ctsf;Lonp1;;;
Gstm1;Ckap2;;;
Sox18;Tmem147;;;
Fads3;Prkab1;;;
Ly6a;Chchd10;;;
Ifitm1;Wdr55;;;
Inhba;Tlk1;;;
Mllt3;Zfp639;;;
Wfdc2;Kif22;;;
Ifitm3;Nudt4;;;
Gbp6;Mdh2;;;
Ramp2;Pigq;;;
Sult1a1;Eif4ebp1;;;
Gbp8;Rpn2;;;
Ablim1;Hars;;;
Ralgapa1;Cyc1;;;
Cd74;Tango2;;;
Cyp27a1;Lap3;;;
Procr;Alad;;;
St8sia4;Rexo2;;;
Gm4951;Ndufb9;;;
Ly6e;Ncapg2;;;
Ndnf;Ddx21;;;
Mapk12;Gtf2f1;;;
Tgtp2;Oat;;;
Ifitm1;Fth1;;;
Mllt3;Gars;;;
Pdzk1ip1;Snhg5;;;
Serpina3f;Emilin2;;;
Hif;Mthfd1;;;
Ly6a;Nars;;;
 Ctnaal1;Sppl2b;;;
Trpc6;Tmem14c;;;
Mpl;Cldn13;;;
Hoxb5;Vdac1;;;
Fgd5;Slc25a3;;;
;Pole3;;;
;Dlst;;;
;Sh3tc2;;;
;Farsa;;;
;Rfesd;;;
;Dek;;;
;Slc40a1;;;
;Isyna1;;;
;Klf1;;;
;Casp3;;;
;Picalm;;;
;Gclc;;;
;Ifi30;;;
;Bag2;;;
;Mat2a;;;
;Txnl1;;;
;Fech;;;
;Comt;;;
;Acaa2;;;
;Psmg2;;;
;Tmem56;;;
;Sgpp1;;;
;Scarb1;;;
;Spire1;;;
;Minpp1;;;
;Cs;;;
;Nusap1;;;
;Uap1;;;
;Epdr1;;;
;Rrm1;;;
;Nup93;;;
;Eef1e1;;;
;Txnrd2;;;
;Atp7b;;;
;Gypa;;;
;Hsph1;;;
;Lyrm4;;;
;Phf10;;;
;Steap3;;;
;Scrn3;;;
;Car1;;;
;Hagh;;;
;Nolc1;;;
;Tmem33;;;
;Adsl;;;
;Afg3l2;;;
;Etf1;;;
;Hiatl1;;;
;Piga;;;
;Ubr7;;;
;Tmx1;;;
;Hpn;;;
;Acsl5;;;
;Rcor1;;;
;Hspa9;;;
;Ikzf1;;;
;Phb2;;;
;Usp15;;;
;Cirh1a;;;
;Mt2;;;
;Ppap2a;;;
;Ssx2ip;;;
;Abcb4;;;
;Tspan8;;;
;Slc25a21;;;
;Pik3r2;;;
;Kif20b;;;
;Golm1;;;
;Txn2;;;
;Cdca4;;;
;Dus1l;;;
;Glrx5;;;
;Cct2;;;
;Ndufv1;;;
;Pfkm;;;
;Camsap2;;;
;Fignl1;;;
;Cela1;;;
;Cnih1;;;
;Nxpe2;;;
;Tcp1;;;
;Clptm1l;;;
;Pitrm1;;;
;Ezr;;;
;Ddias;;;
;Eftud2;;;
;Gstm5;;;
;Ell2;;;
;Hnrnpdl;;;
;Gata1;;;
;Ap1b1;;;
