Gene,Accession,Chromosome,End,Start,Strand,fit_alpha,fit_beta,fit_gamma,fit_U_switch,fit_likelihood,fit_scaling
Sytl4,Sytl4,X,133981783,133936385,-,150.13827910501328,0.13613864710096624,0.17001473776032708,1091.8052990766662,1.535802519153989,12.082046524185452
Chgb,Chgb,2,132795072,132781278,+,408.0305289066602,0.030188637645124812,0.10819920876964823,13380.869596241215,1.163352079981886,155.6028826992361
Nrk,Nrk,X,139009090,138914430,+,21.07431548018982,0.018854729062913383,0.030227252723908925,1106.5432049313224,1.5930889814717628,3.5116529920344473
Rgs4,Rgs4,1,169747642,169741477,-,111.76421404523069,0.0673028664570452,0.08970337742740836,1644.009798236402,1.9227063194334992,178.37360517776995
Agtr2,Agtr2,X,21488833,21484624,+,192.0713966406035,0.06677062995112276,0.07492712322155429,2811.036464722876,0.8908271215267942,597.2467115617646
Dgkk,Dgkk,X,6948363,6873484,+,43.57885885070477,0.05624671587593761,0.07056636762196536,767.0326985375934,1.1671003988973585,6.125816879216218
Dbh,Dbh,2,27183204,27165507,+,58.99329971984154,0.03575656978621587,0.047814525325110505,1633.3604445792664,0.9294979525083558,11.730858829423067
Epas1,Epas1,17,86833410,86753864,+,54.20632619251443,0.09745105223512503,0.12397440952224686,550.6791532749265,1.462255660737055,6.879399978145683
Th,Th,7,142899966,142892776,-,101.78304934370746,0.060477288376926785,0.0677636025918069,1666.1662841469956,1.3414456666003727,15.381184663849364
Chga,Chga,12,102565027,102554969,+,61.80623246583857,0.06862282920848146,0.07406385561257459,891.6591001412341,0.9166561123889466,13.972616937774152
Zdbf2,Zdbf2,1,63314575,63273269,+,78.80354916771279,0.06678643932896002,0.08351115446638482,1168.1340472691809,0.7225612659608383,23.272832065874045
Ednrb,Ednrb,14,103844476,103814615,-,,,,,0,0
Sparc,Sparc,11,55420080,55394501,-,53.99840583217852,0.07237059554971119,0.07834320334554745,738.6759963462823,1.1284183240118504,98.41298353946803
Ckb,Ckb,12,111672338,111669355,-,36.55520326302633,0.03293484445597384,0.03096141423696915,1098.825630671283,0.7432543306878394,31.44744815510086
Ccna2,Ccna2,3,36571996,36564865,-,,,,,0,0
Meg3,Meg3,12,109571729,109540996,+,33.358239877126564,0.014358633418363213,0.04877545097619678,2299.986114007212,1.817008296513584,3.747362200779579
Mest,Mest,6,30748466,30733506,+,61.41049483887155,0.017786510759604475,0.02241324007179936,3251.113313580856,0.5933475020005814,113.4706243709511
Lmo4,Lmo4,3,144205255,144188530,-,25.020807795934985,0.05083886239229872,0.07875127023376985,487.2374902261382,1.4193496070622178,14.079817812647585
Id3,Id3,4,136145392,136143822,+,48.98075386336118,0.05922591377710428,0.09303960244042064,818.7454313870517,0.9473210740548818,155.81076111691547
Mki67,Mki67,7,135716379,135689788,-,,,,,0,0
Cyb561,Cyb561,11,105944147,105933704,-,12.391894733292158,0.014448770034602678,0.018147869931667553,849.0671355817304,1.0006205122972163,11.558420900929626
Gch1,Gch1,14,47189402,47153895,-,20.509880041155398,0.02712570588367123,0.043243112968579155,748.5438840862256,1.330351545518535,7.038059944114313
Serpine2,Serpine2,1,79858665,79794321,-,35.609493181351546,0.08661813401699137,0.08522218748980123,406.99789541324657,1.1818232289222734,5.253458616577392
Dlk1,Dlk1,12,109463336,109452823,+,60.86074351158917,0.03189696697057805,0.10568603412347724,1888.9612962903404,1.1090518619053749,90.15953333582502
Cdkn1c,Cdkn1c,7,143461050,143458339,-,81.2451979642832,0.015051600360373209,0.018540051722038747,5343.800264349166,1.1390575655619968,340.10721537038273
Sox10,Sox10,15,79164490,79154913,-,56.2914169884397,0.1311797500062399,0.1961028255862538,424.8254994837574,1.4326976455500815,33.082714771906254
Stmn2,Stmn2,3,8561604,8509527,+,227.84193867279063,0.08895206185387976,0.3496325418206813,2535.7874183579083,1.7518325757264923,59.42917296480253
Tagln2,Tagln2,1,172507375,172500246,+,35.784422992459206,0.03775487373930234,0.09872095920280725,938.3312736563596,1.4832692576860262,150.91894198179585
Ddc,Ddc,11,11898144,11814101,-,18.19118719325967,0.0379229294880538,0.04326439335709725,474.89145918962356,0.6460499143896138,3.8799272883477407
Ccnd1,Ccnd1,7,144939925,144929931,-,108.88004145605697,0.050586086299783777,0.10492021631731147,2130.847609018473,1.0792656572904928,139.90060551281852
Rrm2,Rrm2,12,24714146,24708254,+,36.18073620731841,0.07938715808033615,0.08587786262736118,451.19298525585356,1.183340206818325,23.164463011796038
Nefl,Nefl,14,68087737,68083884,+,71.08096798410163,0.06919983161058316,0.06504257655201386,1016.9122766116453,0.5637620774059364,529.3994149371774
Slc18a2,Slc18a2,19,59296012,59260878,+,16.71563852743967,0.032033928237578085,0.03218634090350231,516.5923460723972,0.7755260866445958,7.796010973225295
Scn3b,Scn3b,9,40291618,40269216,+,6.097600382643767,0.015744734068800226,0.0278275528436997,383.4059281305683,0.7073789707562895,4.414872663655526
Slc18a1,Slc18a1,8,69089222,69037708,-,6.740233860918139,0.025940741175484977,0.02677446317983601,257.2336494616062,0.8821334506410602,2.6156156599811475
Isl1,Isl1,13,116309688,116298270,-,35.28645675845676,0.023111683650424656,0.09295039268502964,1511.5122169055096,1.1280761712091747,33.548113174602534
Tpx2,Tpx2,2,152895321,152847964,+,25.480131811744567,0.052961901065951465,0.039615179228317476,408.37473108887264,0.686466814291086,23.723950081145695
Ampd3,Ampd3,7,110812408,110768206,+,15.237107857730729,0.07041046861515676,0.09989184049883751,214.23997135429144,1.2330918409734484,6.164817654484436
Plp1,Plp1,X,136837742,136822836,+,67.83282230766564,0.06262794274792949,0.1889102230651803,1064.4147192227792,1.3626905227843753,86.77854195144268
Nefm,Nefm,14,68125004,68119545,-,25.009031625097293,0.025575273353124643,0.027944783701516658,965.577143736125,0.6556736554165481,256.9761817923305
Col5a1,Col5a1,2,28039510,27886425,+,14.650049809490007,0.046483408804747786,0.05545555773874868,312.0156134055668,1.5063421417537142,7.10554437641688
Miat,Miat,5,112228948,112213228,-,103.25626429603265,0.03555464250780258,0.08882203028854653,2875.1154404277586,0.8153451364735673,23.181505703172583
Ccnb2,Ccnb2,9,70421554,70407689,-,48.222996986039476,0.14117111238451183,0.09872376851251888,303.339415549956,0.7552863355269996,36.60986881536978
Pls3,Pls3,X,75875170,75785654,-,156.1182728662624,0.1515373388483387,0.2258252571430127,1019.927440406508,1.504228526224797,5.889802370571429
Cenpf,Cenpf,1,189688086,189640614,-,74.96879102685091,0.21764284181500748,0.2275201885515152,341.01329727934404,1.0098857861236126,53.858955182691204
Disp2,Disp2,2,118795175,118779719,+,39.48883139999803,0.1372924989414224,0.17376518494909235,284.7493008534864,1.118231236624945,25.286902791167535
Unc5c,Unc5c,3,141834922,141465564,+,15.693055947687682,0.02097155216175393,0.06131545167746233,740.8190518460633,0.8590240458266747,0.5771512820828248
Mcm6,Mcm6,1,128359656,128331591,-,45.15922045236282,0.035288708162834234,0.13596831117220426,1266.9103114101774,1.1266106889227574,75.19131463153073
Cd24a,Cd24a,10,43584265,43579169,+,31.816733258204923,0.07127671417119824,0.059901272370776124,441.91944440602356,0.6450132463383669,183.56651030902248
Rab27a,Rab27a,9,73097592,73044865,+,22.92764347765013,0.03499009936770209,0.13546784830339614,648.7082761424093,1.992564794828941,6.630353192795857
Eml5,Eml5,12,98901484,98786604,-,19.773774168645524,0.04631500523926125,0.04809745594716311,422.6715796712132,0.8902075378360783,1.1820383641228824
Rtn1,Rtn1,12,72408939,72211752,-,4.2464259895561005,0.009141270695951055,0.010115742977605915,459.8881128771956,0.6825996253807542,6.140883927655355
Cenpa,Cenpa,5,30674826,30666902,+,22.276543805499077,0.02672825220405946,0.07851081415431775,825.1111295670347,1.2633701411289784,20.137773550118034
Ret,Ret,6,118197744,118151748,-,23.09062761324407,0.04329003261469528,0.09819176706881917,528.0596931070836,0.9083529099486785,16.02617273145421
Tacc3,Tacc3,5,33672197,33658147,+,20.93620407182747,0.050112110868125045,0.07776244608927242,413.60943835820285,0.836154827943411,30.739872235166793
Ccnd2,Ccnd2,6,127151048,127125709,-,62.88024111948163,0.03443154056042347,0.09631728132996285,1807.9771539424025,0.8518637545299741,129.31052609946101
Tbx20,Tbx20,9,24774303,24720812,-,5.788065172071095,0.014208522774530373,0.017824565770501774,403.2920671121478,1.0340672985789112,0.7724876291113123
Igfbp3,Igfbp3,11,7213923,7206091,-,,,,,0,0
Racgap1,Racgap1,15,99651656,99620496,-,15.726515600458814,0.08005457219266317,0.05686869570103586,184.62611124332295,0.7563637667988742,10.036782459453438
Cdc20,Cdc20,4,118437343,118432901,-,,,,,0,0
Top2a,Top2a,11,99024189,98992947,-,72.61307162870226,0.06880027877711427,0.19146518648780156,1044.864093433408,1.438586376477129,28.79332843543726
Gpc3,Gpc3,X,52613974,52272427,-,12.597397440816751,0.059366189096025895,0.04745815274469321,210.0762008865994,1.1548774178815875,1.6792366603859281
Igfbp5,Igfbp5,1,72874865,72858065,-,19.778782618489736,0.0835714849362224,0.09019725558111111,234.30234376292438,0.70559308804964,37.24264544427197
Mcm5,Mcm5,8,75128439,75109528,+,26.66062209947807,0.08522170874122859,0.11663748938115724,309.7100054474076,1.011653554901434,18.65367680262356
Bub1b,Bub1b,2,118641592,118598211,+,21.782307671491154,0.11885249918661372,0.06904153561279883,178.7756788458735,0.6822479103694916,14.234810505677665
Hand1,Hand1,11,57832147,57828713,-,11.515213191902182,0.049884596263381736,0.0852872313409076,228.52868247730981,0.9205174303271771,72.84840169475444
Rnf128,Rnf128,X,139673145,139563340,+,8.119386389338853,0.030228993574255892,0.029821670889675633,265.91002792402196,0.9741675437775226,6.840818783562652
Cdk1,Cdk1,10,69352912,69336635,-,16.575106174008077,0.040298150526773616,0.07346738673700291,407.19871502206576,1.2419478688598966,31.967313416416914
Postn,Postn,3,54391041,54361107,+,,,,,0,0
Spon1,Spon1,7,114043375,113765998,+,14.338128421548602,0.020216736834775623,0.03766222385496374,663.9058366867754,1.216129416846528,1.7113337554564985
Eya1,Eya1,1,14310199,14168958,-,31.658187965409564,0.042452331959483725,0.08975971757139621,738.2776078277096,1.420957275103285,0.9516361820922381
Mcm3,Mcm3,1,20820213,20803014,-,14.48187222704878,0.038077625071362205,0.07021134789586053,376.5217362666099,0.9417400769226076,38.24182392151716
Moxd1,Moxd1,10,24302783,24223517,+,,,,,0,0
Tub,Tub,7,109034459,109010880,+,53.54217905391332,0.09788576783741472,0.19539481335716002,506.86968857020474,0.7517251866947902,42.297569947726714
C2cd4b,C2cd4b,9,67760933,67759437,+,4.5576063484505855,0.02133125441504068,0.04026366100721286,211.52203228070096,1.2117967271406833,40.34437219393651
Cdca8,Cdca8,4,124936917,124918465,-,20.29601977830505,0.05591493156688992,0.06835597283551663,348.86461123092414,0.6967116547493566,33.3872613023939
Rbp1,Rbp1,9,98446550,98422961,+,49.749119708376355,0.14304592281521938,0.18053777799528908,344.30641252819026,1.0531845006012328,16.096435082339198
Stra6,Stra6,9,58153997,58129088,+,33.27887553742695,0.05744843199938644,0.16869265891493646,573.4897478560346,0.8195352562088335,35.96631652012404
Adora2a,Adora2a,10,75334788,75316943,+,9.857395813965375,0.06656764034009996,0.07995109449925036,146.6000868585252,1.201507357672855,5.715263655168176
Nrp1,Nrp1,8,128505475,128359073,+,18.148644058456206,0.033419297413267636,0.062476734175756325,528.2023616861397,1.186483322225983,1.3790024421525697
Gas7,Gas7,11,67688992,67532998,+,,,,,0,0
Asb4,Asb4,6,5433021,5383386,+,19.340193213598063,0.052312670343569165,0.08625483838431655,366.00676577420813,0.7267986673639598,22.8504970289015
Snap25,Snap25,2,136782428,136713450,+,2.987554145020147,0.01429622051868064,0.012837503430856552,206.88535125106628,0.6124968789151509,1.5976831774810982
Mmp2,Mmp2,8,92853420,92827328,+,15.067050658625002,0.029460311267697985,0.04302268548270069,450.3232698553885,0.8852905045125024,54.397315790997666
Syp,Syp,X,7653256,7638580,+,3.8722617676072337,0.02175798801834082,0.023447566802825826,176.18996511532652,0.7886543343542565,7.264215507358873
Rrm1,Rrm1,7,102469771,102441695,+,22.420219341567705,0.024388178650604157,0.04929133996317058,902.6107002281979,0.7193797757453294,98.94244203450118
Ppfia2,Ppfia2,10,106933468,106470310,+,13.752882611845207,0.02844201688770677,0.10380220568430333,478.7056360834802,2.1769981326922903,1.6363388354553052
AW551984,AW551984,9,39604124,39587396,-,5.638759169034887,0.023967297225858254,0.031750833719852496,232.91619095547128,0.6646971480774885,82.66732166189789
Chrna3,Chrna3,9,55026559,55011343,-,13.747885700494212,0.040518000694445645,0.05111113329653348,335.9101290838132,0.6909526052160074,4.416310929970914
Ctsz,Ctsz,2,174438992,174427494,-,32.73994827985562,0.029301877851812024,0.10796445921335109,1106.1594400528386,0.9497929124283165,58.24738109618448
Doc2b,Doc2b,11,75796057,75769090,-,73.68718326448312,0.13035501732962917,0.5613002327252449,559.6279523891942,1.9104524965143195,17.41093645037143
Htr3a,Htr3a,9,48911099,48899213,-,9.019682376353856,0.039912080955995424,0.055667241369066964,223.72888956693117,0.9765426029392491,20.541344567599243
Serpinh1,Serpinh1,7,99353239,99345375,-,35.00786870520716,0.06557671953709307,0.08874724889880055,528.5075292391093,0.8385450192951377,205.24027067313602
Pde2a,Pde2a,7,101512829,101421691,+,4.470960051406748,0.029812620517792134,0.034230438343827746,148.4690166116427,0.7713933405876843,9.550457798003281
Ndufa4l2,Ndufa4l2,10,127517156,127514939,+,3.984744488758106,0.01832097179857734,0.02068805226669991,215.3213861819739,1.1128217609113276,9.0295590682267
Cck,Cck,9,121495689,121489824,-,30.43795835389664,0.11087861101503223,0.08691611946603216,271.7708897550345,1.0581674271774828,31.06617163511453
Birc5,Birc5,11,117855743,117849237,+,73.34343014504971,0.32595337386994766,0.24761052830716734,222.7619091084172,0.7889464261597615,63.67453786769168
Galnt6,Galnt6,15,100729376,100689915,-,,,,,0,0
Dusp6,Dusp6,10,99267489,99263231,+,,,,,0,0
Snap91,Snap91,9,86880372,86765936,-,12.24474930179646,0.11112700134023411,0.12464908195725852,109.08511579165193,0.919163233706748,0.8641586417920468
Kif20a,Kif20a,18,34633277,34624624,+,2.1997953075098273,0.0029614019769157534,0.004930664688194167,735.3940368145717,0.7352803601037863,91.90049419184544
Cdh6,Cdh6,15,13173639,13034200,-,37.86621587321127,0.044988249575786475,0.09006684272333637,766.8530646370036,1.7781683154804317,0.4247310243977126
Cenpe,Cenpe,3,135273540,135212563,+,6.881942074945517,0.03814830547248669,0.02125991367032798,178.59568255554157,0.7274064540873699,23.87655603169717
Gata2,Gata2,6,88207032,88198664,+,4.937111484056835,0.03395897307417715,0.03656100099582737,143.9307472148788,0.6024996657566151,26.591898163902915
Igf2,Igf2,7,142661035,142650768,-,3.4775644614272787,0.01656261133295044,0.011362408256317876,207.86509733303708,0.5537198704177895,54.26729359993956
Pclo,Pclo,5,14863459,14514918,+,3.059722859925627,0.021288656958944423,0.028361653381878186,142.2882447290168,0.9781682547266574,1.039730099031971
Slc10a4,Slc10a4,5,73012955,73006904,+,19.697915231729294,0.026112565592514295,0.04255680895008466,746.8027609283381,0.8306959214944992,10.760099125636751
Nav1,Nav1,1,135585355,135434580,-,110.53138461856264,0.08993750867196486,0.18903924197401706,1216.6900372067687,1.1034927845416715,1.3538113000597534
